,sentence
0,La Biblioteca Museu Víctor Balaguer conserva obres seves.
1,És quan erro que m'ofego.
2,He d'anar del carrer A als jardins de Can Castelló.
3,"Les fulles són grans, llargues i molt dentades."
4,Té un petit campanar d'espadanya al capdamunt de la façana.
5,Es troba a Taiwan i a les illes Hawaii.
6,Són originàries d'Euràsia i d'Àfrica del nord.
7,El partit es presentà a diverses eleccions locals.
8,Igualment la pràctica de l'instrument ha experimentat un increment notable.
9,Es van llançar diverses sondes per a explorar la Lluna.
10,L'efecte de la memòria addicional va tenir resultats variats.
11,La seva mare era irlandesa.
12,També solen ser vistos volant sobre erms.
13,El seu origen es qüestiona.
14,El conjunt és molt proporcionat.
15,Es considera el pare de la historiografia marxista grega.
16,Només és subvencionable la part estrictament vinculada al projecte.
17,Dimarts en Guillem i n'Hug van a Canejan.
18,"Si algú havia vist el crim, s'ho callava."
19,"En aquest sentit, aporten més informació els jaciments arqueològics."
20,Els seus penya-segats alberguen nombroses espècies d'aus marines.
21,La rebotiga del cor de la catedral.
22,És rica en proteïnes i greixos.
23,Sovint se celebren festivals d'èxit durant els anys posteriors.
24,És un endemisme de Califòrnia.
25,És endèmica de Papua Nova Guinea.
26,La seva hibernació té lloc entre octubre i abril-maig.
27,Es troba a l'Àfrica Oriental: el llac Malawi.
28,Quines parades fa l'autobús que va a Igualada?
29,Com ho puc fer per anar a Serinyà dimarts?
30,"Mosques i tàvecs, tots piquen."
31,"Perfecte, i hi ha costos addicionals?"
32,Dijous en Quer i na Fiona aniran al cinema.
33,A l'interior es conserva l'estructura metàl·lica amb l'enteixinat de fusta.
34,El deu d'agost na Nina va a Santa Pau.
35,Demà passat na Cloe anirà al metge.
36,La segona polèmica va arribar a final de gener.
37,Quantes persones han sigut arrestades?
38,Aquí està el pot de la confitura.
39,Furtar fruita de l'hort del veí.
40,Per Sant Jordi na Dúnia anirà a Sarrià de Ter.
41,Dijous na Blanca vol anar d'excursió.
42,"En totes dues novel·les, l'exaltació patriòtica és ben evident."
43,És el seu mateix reflex amb les seves mateixes inquietuds.
44,Dissabte na Cèlia anirà a Xirivella.
45,Però aviat va aparèixer el poder malèfic.
46,Després del relleu retornà al Consell d'Estat.
47,Anar amb preguntes i respostes.
48,M'han ratllat el cotxe aquesta nit.
49,El Zygentoma també va ser ascendit a l'estat d'ordre absolut.
50,Els mitjans de comunicació poden ser públics o privats.
51,L'Sten s'adona que no hi ha res a fer.
52,Les plantes de cultiu obert són irregulars.
53,L’Olga també estava embarassada en aquell moment.
54,A concentracions baixes fa olor d'herba acabada de tallar.
55,Amb aquesta accepció ha arribat a nosaltres.
56,La seva especialitat és la Guerra Civil espanyola i l'exili.
57,Filla de pares tutsis mestres i fervents catòlics.
58,Aquest transbordador em sembla avorrit.
59,"Està situada a Besançon, França."
60,El vint-i-nou de febrer en Sol anirà a Bot.
61,També es pot escriure Liang o Yang en mandarí.
62,Les obertures són fetes amb peces de maó massís.
63,"Feta servir a l'americana, de segona mà."
64,Dimecres na Neida anirà d'excursió.
65,Sabien exactament el que volien.
66,Bellmunt del Priorat és un topònim compost.
67,"Es troba a Bulgària, Grècia, Rússia i Síria."
68,El tracte ha estat correcte en tot moment.
69,"A dia boig, caminant savi."
70,Això no danya la salut.
71,A l'interior hi ha dues versions del programa.
72,Era un músic de talent i va deixar catorze composicions.
73,De quina planta s'alimenten les femelles adultes?
74,La seva llavor principalment la dispersen els ratpenats.
75,Revolucionaris que han acabat exercint de tirans.
76,Té poca decoració i cap inscripció.
77,La còpula i la inseminació són ràpides.
78,Ho va escriure i cantar Steve Diggle.
79,"També estudià a la Universitat d'Edimburg, Escòcia."
80,"Quan s'inicià la Guerra Civil, es trobava disponible a Mallorca."
81,Portal rodó adovellat i tres finestres gòtiques.
82,Aquesta llegenda és evidentment un mite.
83,Els de Bellmunt tenen la gent lluny.
84,Contra l'atzar es vivia prou bé.
85,Constitueixen un dels grups de risc per al fracàs escolar.
86,"Casat, i amb un fill."
87,La mida de les obertures disminueix amb l'alçada.
88,N'existeixen múltiples models al món.
89,Va estar en el número u d'Àustria durant vint-i-una setmanes.
90,La policia sospita que ha estat un crim homòfob.
91,L'oncle Canut sent el repic de les campanes.
92,Finalment va acabar sent envoltat per l'enemic.
93,El nou d'octubre na Lena anirà a Mollerussa.
94,El seu centre d'operacions és l'Aeroport Internacional de Tunis.
95,"L'obra, de pedra, està arrebossada i pintada."
96,És l'acte popular més emblemàtic de la festa.
97,Sant Llorenç d'Hortons és un bon lloc per anar-hi.
98,La Sol li explica la situació.
99,Escala centrada i dos apartaments per planta als pisos.
100,Dilluns na Tanit anirà a Vallibona.
101,Dissabte en Blai anirà a Porrera.
102,El territori coincideix amb el Panjab.
103,Allà va començar a investigar observant el nitrogen en rierols.
104,Dimarts na Rosó i en Bru volen anar a Llançà.
105,Cançó operística amb ressons del Tercer Reich.
106,El solc central de la depressió nasal és relativament estret.
107,Tres-cents vuitanta-tres mil vuit-cents setanta-tres admet una lectura prosaica.
108,Va compondre alguna música per al servei eclesiàstic.
109,Com ho puc fer per anar a Llíria?
110,Dues subespècies germanes reconegudes actualment i estretament relacionades.
111,La festa de les festes.
112,El telescopi farà ús d'òptica adaptativa.
113,Està escrit en forma rondó-sonata.
114,Aquest temple és un dels tipus més bells d'arquitectura coríntia.
115,A continuació hi haurà dues taules rodones.
116,Només s'han trobat restes d'un crani i una mandíbula.
117,Al museu es poden contemplar algunes restes arqueològiques d'aquestes instal·lacions.
118,Probablement és el mateix esmentat també per Tertulià i Eusebi.
119,Segons altres versions fou afusellat per falangistes.
120,De què va ser acusada la justícia federal alemanya?
121,"És molt confusioner, un enredaire."
122,"La perspectiva pot reproduir-se de manera perfecta, sense construcció."
123,África Zamorano és una nedadora nascuda a Barcelona.
124,Culminava així la seva pràctica com a aprenent de comerciant.
125,És la part més vistosa i estava coberta amb volta.
126,La ciutat és la seu de dos aeroports.
127,Però aquesta probabilitat es va complir.
128,Es formen comitès parlamentaris per deliberar llargament sobre assumptes específics.
129,"Que no punxa, desproveït de banyes."
130,Bagà destaca per la seva rica cuina catalana.
131,Visca les persones com cal!
132,Per Sant Jordi en Xavi va a Bufali.
133,A quina hora passa el primer autobús per Seròs dijous?
134,Ariadna Castellarnau Arfelis és una escriptora nascuda a Lleida.
135,Els ancilòstoms habiten al sud de Califòrnia.
136,Després es trobava que no podia comprar res.
137,"De llana d'anyell, bon burell."
138,Inicialment la pagesia revoltada va col·laborar amb els pobles bàrbars.
139,L'altra porta es va obrir posteriorment.
140,Diumenge na Farners anirà d'excursió.
141,"No hi ha barber mut, ni músic tossut."
142,El cos d'aigua que tanca s'anomena badia de Dungeness.
143,Viuen en zones humides normalment amb poca profunditat.
144,En acabat de sopar anirem al casino.
145,Un colós de la ciència.
146,I aquest home extraordinari va tornar a agafar el bolígraf.
147,A Ucraïna se celebra més d'un campionat de futbol.
148,Com puc arribar al jardí dels Tarongers número vuitanta-u?
