word,homophone,semantic1,semantic2,easy1,easy2
a,ha,lletra,preposició,gos,substantiu
as,has,carta,geni,terratrèmol,color
abís,avís,abisme,avenc,cos,dilluns
abocar,evocar,buidar,vessar,economia,aparell
amassar,amaçar,reunir,pastar,lloc,billar
ampit,empit,parapet,finestra,hivern,família
empits,ampits,pujades,costes,humanitat,naturalesa
baca,vaca,portaequipatges,transportar,comèdia,guitarra
vaques,baques,bestiar,bovins,escriptori,escola
vacil·lar,bacil·lar,dubtar,oscil·lar,aigua,pes
baga,vaga,llaçada,anella,benzinera,roba
vague,vaga,indefinit,imprecís,societat,cosa
balisa,valisa,senyal,boia,transport,carbassa
valises,balises,maletes,equipatges,criatura,gat
ball,vall,dansa,ballet,adjectiu,inundació
valls,balls,depressions,conques,blanc,cama
bamba,vamba,bombolla,bòfia,dimarts,consum
vambes,bambes,sabatilles,sabates,càmera,posició
ban,van,ordre,autoritat,boxa,primavera
bast,vast,ordinari,rude,amiga,humà
vasta,basta,extensa,immensa,camp,drama
be,bé,xai,ovella,piano,cadira
bé,ve,correcte,bo,bar,gel
ve,be,venir,anar,quilòmetre,advocada
bel,vel,crit,so,peça,comunitat
vels,bels,xadors,robes,aspecte,trànsit
belar,velar,begallar,cridar,bledes,ésser
veles,beles,teles,velers,vaca,adverbi
bell,vell,formós,bonic,huracà,negre
vells,bells,ancians,antics,canyella,dimecres
bena,vena,apòsit,embenatge,demanda,agulla
venes,benes,vasos,sang,moviment,ciclisme
beure,veure,prendre,empassar-se,estiu,amic
besar,vesar,petonejar,petó,persona,bosc
bessa,veça,branca,tronc,musical,violí
veces,besses,herbes,plantes,llit,cafeteria
vesses,besses,desbordes,surts,vapor,centímetre
bisó,visó,búfal,boví,actriu,màniga
visons,bisons,musteles,mustèlids,trobada,contingut
visor,bisó,instrument,visualitzador,vehicle,pèsols
boga,voga,planta,fulla,vida,porc
bòlit,bòlid,beisbol,esport,preposició,tornado
bòlids,bòlits,meteors,estrelles,gris,genoll
bol,vol,recipient,tassa,dijous,companyia
vol,volt,volada,bandada,clau,velocitat
volt,bol,passeig,tomb,atletisme,tardor
bola,vola,pilota,esfera,coneguda,home
vota,bota,elegeix,tria,jungla,terror
botar,votar,saltar,rebotar,bateria,dormitori
vuit,buit,quatre,nou,restaurant,foc
buits,vuits,forats,desocupats,mil·límetre,actor
caneló,canaló,pasta,beixamel,solapa,estructura
canalons,canelons,canals,conductes,objecte,ferrocarril
capça,capsa,capçada,copa,pastanaga,naixement
capses,capces,caixes,contenidors,euga,conjunció
cantarella,canterella,cançó,entonació,tsunami,vermell
canterelles,cantarelles,càntirs,almorratxes,cuixa,divendres
cec,sec,ignorant,aliè,servei,fil
secs,cecs,eixuts,demacrats,acceleració,escalada
sella,cella,seient,albarda,conegut,nadó
celler,seller,bodega,soterrani,selva,suspens
cent,sent,mil,segle,flauta,habitació
cessió,sessió,transferència,traspàs,autoescola,gas
sessions,cessions,reunions,congressos,litre,administratiu
cigne,signe,ocell,au,botó,administració
signes,cignes,senyals,senyalitzacions,part,tren
cingle,cingla,espadat,precipici,pebrot,reproducció
coble,cobla,corretja,corda,cavall,verb
compte,comte,atenció,esment,incendi,taronja
comtes,comptes,nobles,aristòcrates,cap,dissabte
cub,cup,hexaedre,poliedre,producte,cordó
cups,cubs,premses,trulls,direcció,esgrima
deu,déu,nou,vint,col·lega,nena
déus,deus,divinitats,deïtats,desert,fantasia
duu,dur,sosté,carrega,trompeta,cambra
durs,duus,difícils,ardus,ajuntament,aire
espacial,especial,astronòmic,còsmic,mil·lilitre,arquitecta
especials,espacials,particulars,característics,tancament,organització
espècie,espècia,classe,tipus,sector,camí
fals,falç,incorrecte,erroni,col,mort
ham,amb,pesca,esquer,ovella,pronom
hostatge,ostatge,alberg,allotjament,sequera,groc
ostatges,hostatges,presoners,segrestats,cara,diumenge
mà,ma,dit,braç,producció,cordill
mac,mag,pedra,còdol,mida,esquí
mags,macs,il·lusionistes,bruixots,parella,nen
maça,massa,arma,eina,costa,clarinet
masses,maces,multituds,gentades,panell,banc
mercat,marcat,comerç,negoci,metall,gram
marcats,mercats,clar,definit,astronauta,cremallera
mes,més,setmana,any,associació,paraula
mon,món,ton,meu,via,bròquil
món,mont,planeta,cosmos,mico,determinant
monts,mons,muntanyes,carenes,allau,verd
pèl,pel,cabell,pelatge,boca,transacció
probable,provable,possible,segur,pantalla,longitud
provables,probables,demostrables,corroborables,gimnàstica,esposa
quant,quan,quantitat,quantia,adolescent,platja
regla,regle,norma,patró,saxofon,porta
regne,regna,reialme,territori,biblioteca,ferro
segla,segle,rec,séquia,quilo,escombriaire
seva,ceba,sa,teva,cinturó,empresa
sòl,sol,terra,terreny,nom,ruta
sòlid,sòlit,ferm,massís,api,rata
sòlits,sòlids,acosumats,avesats,celeste,llavi
son,són,dormida,becaina,diners,pom
tallarina,tellerina,espagueti,pasta,llarg,golf
tellerines,tallarines,mol·luscs,animals,marit,adulta
taló,teló,tacó,peu,riu,finestra
telons,talons,cortines,escenaris,supermercat,or
tan,tant,com,comparació,total,biòleg
te,té,cafè,beguda,ulleres,equip
ús,us,costum,usatge,codi,carrer
vagar,vegà,errar,vagarejar,enciam,ratolí
vespre,vespra,tarda,nit,blau,dent
vins,vints,raïms,begudes,bitllet,altura
