,sentence
0,La sede de condado es Morgan.
1,A menudo trabaja con las Hermanas Wachowski.
2,En su preparación no debe faltar el chorizo autóctono.
3,Se ubica en la punta este de Rolla.
4,Cada distrito se divide en sub-distritos.
5,Los ejemplos biológicos aún no han sido definidos.
6,El juego está dividido en partes de una hora.
7,Guadalupe Victoria pasó casi cuatro años escondida en la selva.
8,Salamandra de talla mediana y cuerpo esbelto.
9,Bruce McCormick fue el líder del proyecto.
10,El pueblo tiene gran cantidad de arbolado.
11,Se encuentra a pocos kilómetros del círculo polar ártico.
12,Durante su adolescencia residió en El Salvador durante seis años.
13,Es un ave muy tímida y territorial.
14,Es afluente del río Milagro.
15,"Esta sería la bandera argentina, según algunos historiadores argentinos."
16,"Asimismo, casi todos eran miembros del grupo Der Ring."
17,Perdió a su padre cuando tenía dos años de edad.
18,Anna y el joven hombre se hicieron muy cercanos.
19,Su población lingüística rebasa los cien mil hablantes.
20,La gastronomía de Santander está fundamentada principalmente en sus pescados.
21,"Los hechos, en mi opinión, son diferentes."
22,Interpretó a un rapero llamado Lil' Shakespeare.
23,Iván y Julia inician un romance.
24,"Habita en Argelia, Egipto, Israel y Siria."
25,El jugador ve el mundo en primera persona.
26,El nombre es un acrónimo de Groove Over Dose.
27,Él se salvó del hundimiento tras ser varado.
28,Ese mismo año Visage se disuelve.
29,De esto se ocupa la lógica de primer orden.
30,Posteriormente fue a Turquía y Azerbaiyán.
31,Su nombre es en honor del capitán Leonard White.
32,Presenta una magnífica portada enmarcada por torres.
33,El elemento principal más cercano es el cráter Byrd.
34,Se encuentra en Bolivia y el extremo norte de Argentina.
35,Se encuentra desde Perú hasta Chile central.
36,En su formación asiste a Roma para aprender escultura.
37,Estas exhiben un rango de erupciones representativas.
38,Ashdod tiene muchas sinagogas que sirven diferentes corrientes de judaísmo.
39,Pertenece a la familia del salterio por su conformación dinámica.
40,Esta definición fue utilizada en el caso Gillette Australia Pty.
41,Tiene su sede en la ciudad de Aarhus.
42,"Como profesor, enseñó a grandes figuras de la música."
43,Definiendo un conjunto parcialmente ordenado.
44,Homs abrió las puertas a Muhammad.
45,Este ha sobrevivido en una condición muy fragmentada.
46,Esos serían sus últimos días de vida.
47,El ataque a la ciudad fracasó.
48,Más tarde ingresó en la National Film and Television School.
49,Es considerado el primer ídolo del fútbol de Brasil.
50,"Por esto, el matrimonio no produjo hijos."
51,Protagonistas es la cuarta temporada del reality show.
52,Reemplazó la anterior Región Autónoma en Mindanao Musulmán.
53,El distrito tiene escuelas en la Ciudad de Alexandria.
54,Al-Attiyah ha participado en varias ediciones del Rally Dakar.
55,La máscara parece ser ligeramente diferente.
56,"Fiedler nació en Boston, Massachusetts."
57,Me gusta mucho lo que hago.
58,Comparten un vínculo común en su amor por la Coca-Cola.
59,Vicente La Russa y Mario Sánchez se encargaban del humor.
60,Su familia pertenecía al principado de Schwarzburgo-Rudolstadt.
61,Se utiliza para representar los diagramas de circuitos integrados digitales.
62,Paralelamente el baterista Robert Wyatt graba su debut en solitario.
63,Palencia albergaba una guarnición de segundo orden.
64,Verse existió en la distorsión espaciotemporal de Ash Crimson.
65,Tuvo tres nominaciones por los Teen Choice Awards.
66,Hay otras formas que dan incluso mejores tasas de convergencia.
67,"Mientras trabajan, oyen extrañas voces venir del pueblo."
68,Estudió ingeniería civil en los Estados Unidos.
69,Es el perro de la familia Yamada.
70,La lengua dominante hablada en Thane es el marathi.
71,Son enredaderas con camote de olor desagradable.
72,Habita en España y Portugal.
73,Al final no quedaba sino un grupo de cuarenta franceses.
74,Entre los entrevistados figuraron el poeta Rafael Alberti.
