index,sentence
1,german sentence
2,Außerdem wurde das Armaturenbrett komplett neu gestaltet.
3,Das gehört in den Gesetzgebungstext.
4,Zudem stürzte ein Teil des Daches ein.
5,Sie steht auf der Empore.
6,Neben dem geschichtlichen Werk trat er als demokratischer Sozialist für politische Ziele ein.
7,In der Regel werden komplette Gattungen dieser Kategorie zugeordnet.
8,Anschließend begann er für das Ministerium für Landwirtschaft und Forsten zu arbeiten.
9,Er kann einen schottischen Dialekt sprechen.
10,Es gibt etwa zehn Campingplätze und mehrere Ferienwohnungen in der Gemeinde.
11,Der Nachtwächter geht durch die Straßen und ruft die Stunden aus.
12,Dabei stand er mit vielen Künstlern persönlich in Kontakt.
13,Ihr Mitgefühl heilt ihn jedoch augenblicklich.
14,"Es gibt jedoch weitere Aspekte, die in Betracht gezogen werden müssen."
15,In den folgenden Jahren war er meistens für interkulturelle und interreligiöse Projekte zuständig.
16,Im Zweiten Weltkrieg wurden hier fast alle Häuser zerstört.
17,Die offene Flur umfasst weit überwiegend Wiesen.
18,In einem Bereich fand man Kochgeschirr und feine Keramik.
19,Die Innenseiten sind kahl.
20,Es handelt sich um ein viergeschossiges Mietshaus.
21,Diesen Wünschen kam sie schließlich nach.
22,Bernhard musste den Streit schlichten.
23,Zudem arbeitet er künstlerisch mit Glas.
24,Von Beruf ist er Finanzberater.
25,Der südliche Turm beherbergte ein Restaurant.
26,Der Beschluss des Parlaments über Klimaänderungen wird unseren Partnern eindeutige Signale übermitteln.
27,Zum Schutz der Pferde ist der innere Rundgang meist abgesperrt.
28,Sie ist eine der ältesten Schulen in Dänemark.
29,Oppenheimer lebte als Kaufmann in Frankfurt am Main.
30,Momentan enthält der Backsteinbau ein Lager und ein Geschäft.
31,Im nordwestlichen Teil liegt ein kleines Industriegebiet.
32,Mit mehr als einem Jahr Verzögerung wurden die Arbeiten abgeschlossen.
33,Den Schallplattenauszeichnungen zufolge verkaufte die Band bisher mehr als zehn Millionen Tonträger.
34,Der ganze Trubel um seine Person stört ihn allerdings.
35,Er gehört keiner politischen Partei an.
36,Die Statue zeigt Ella Fitzgerald während eines Gesangvortrags mit offenen Armen.
37,Ein einheitlicher Erweiterungsbau entlang der Langhaussüdwand zieht sich bis zum Turm.
38,Er befasste sich mit Mimikry und Ornithologie.
39,Danach trat er als Dekorationsmaler hervor.
40,Der Ort hatte eine einklassige Schule und eine Ziegelei mit Gleisanschluss an die Bahnstrecke.
41,Die Stadt bestand aus drei Siedlungszentren.
42,Bezüglich der Ruheplätze dieser nachtaktiven Fledermaus gibt es nur Vermutungen.
43,Der Junge beeindruckt sie durch seinen Wissensdurst.
44,Bei jedem Bankett schenkte sie ihm diese Utensilien.
45,Eckzähne im Mundwinkel sind nicht vorhanden.
46,Hierbei war sie häufig auch für den Filmschnitt verantwortlich.
47,Zusammen mit dem Rathaus wurde auch das für die Stadtapotheke vorgesehene Gebäude ausgeschrieben.
48,Anschließend promovierte er zum Thema betriebliches Innovationsmanagement.
49,Holz und Stein sind das Baumaterial.
50,Anschließend absolvierte er seinen Militärdienst.
