index,sentence
0,Parker e Ward morirono sulla scena.
1,"Robert Stewart, visconte Castlereagh, fu suo fratellastro."
2,"Survival lavora su tre livelli complementari: educazione, advocacy e campagne."
3,La sua configurazione ricorda una “spina” di rosa.
4,Nello stesso mese è stato rieletto leader del Cook Islands Party.
5,Pinne pettorali e pinne ventrali gialle con base rossastra.
6,Ciascuna cerimonia premia i film dell'anno precedente.
7,"I fiori sono unisessuali, ma sulla stessa pianta spuntano sia fiori maschili che femminili."
8,Questa volta però l'attacco doveva avvenire da più direzioni.
9,"Tutti gli anni, viene qui allestito un presepe vivente."
10,La condizione è solitamente asintomatica e non necessita di terapia.
11,Votò contro la tassa sulla rendita.
12,Gibbs vanta anche alcune presenze a livello di Nazionali giovanili.
13,Solo che finiscono proprio per rimanerci bloccati e per giunta senza luci.
14,"Il titolo del suo primo album come leader, The Gift."
15,Venne sepolto pochi giorni dopo al cimitero di Montparnasse.
16,Nelle popolazioni caraibiche i principali predatori risultano essere i cani e l'uomo.
17,La canzone è stata pubblicata come singolo che anticipa il nuovo album.
18,"Fornaciari dovette, quindi, esibirsi in Spagna nonostante la situazione."
19,I semi sono numerosi e reticolati.
20,"In occasione della rievocazione, vengono anche organizzate manifestazioni ludiche e culturali."
21,Non si hanno testimonianze certe che la coppia ebbe figli.
22,"Unica particolarità sono i cambi di tempo, insoliti per lo stile degli Slayer."
23,Vive in Francia con la famiglia.
24,Autori importanti di riferimento sono Irving Babbitt e Walter Benjamin.
25,Dal piano del pulpito si accede a tre finestre.
26,"La mascotte è Uni, un gattino che rappresenta il simbolico leopardo delle nevi alato."
27,Questo piano fu esposto dalla Legione.
28,"Anche dopo l'istituzione di ministri e pastori, la tradizione del ""lay preacher"" continuò."
29,Nell'area è inoltre presente un rifornitore idrico.
30,"Nebbia e, più raramente, ghiaccio e neve caratterizzano gli inverni brevi ma intensi."
31,"Sempre nella cappella è da notare la tela raffigurante ""San Giuseppe Agonizzante""."
32,Avverte i tre uomini all'interno e fugge dalla finestra del bagno.
33,Anche i primi resoconti pro-sciiti di al-Masudi sono più equilibrati.
34,"La Francia si è confermata campione del mondo, vincendo il suo quarto titolo."
35,Nel mezzo del loggiato un portone antico apre il passaggio all'interno della chiesa stessa.
36,Il governo democratico di Ousmane ebbe vita breve.
37,Capsula fibrosa e strato epiteliale sono facilmente separabili tra loro.
38,Ha una parentesi come allenatore della nazionale maschile pakistana.
39,"Alla linea prodotta in Germania ne viene affiancata una, più economica, prodotta in Corea."
40,Nei brani gli arrangiatori dirigono le rispettive orchestre.
41,"Ciononostante, il rapporto con la dirigenza cominciò ad incrinarsi, per diverse ragioni."
42,La lettera non ebbe seguito.
43,"Dopo la vendita della proprietà terriera del padre, trascorre la sua infanzia a Dresda."
44,È presente inoltre un fonte battesimale cinquecentesco.
45,Pone sotto la propria egida il campionato e la Nazionale omanita.
46,È subito assunta per svolgere la mansione di governante.
47,Il vaglio per i militari fu eseguito dal comando di Monaco.
48,"Arrestato dai tedeschi, fu torturato e poi impiccato."
49,"La specie mostra abitudini notturne e si ciba di semi, bacche ed insetti."
50,La teoria ha una versione assoluta e una versione relativa.
51,"Il piano dell'opera, ancora incompleta, è mutato nel corso del tempo."
