index,sentence
0,Ardoaren polifenolari esker odoleko kolesterol on kopurua igo egiten da.
1,"Artearen betebeharra da, eta aldi berean gaitasuna, ideien kondentsazioa."
2,"Bestela esanda, kolore horia berdearekiko gainartzailea zen."
3,Motor unibertsalaren aldaera bat da.
4,Gaur egun aktibo diharduten arroak dira guztiz kontserbatzen direnak.
5,Zuberotartzat jotzen da baina ez da datu segurua.
6,"Orain, kautxua eta turismoa nagusiak dira."
7,Bikoizketa arloan ere egin du lan.
8,Zer moduz bizi zara espainol izateari utzi zenionetik?
9,Biek elkar maite dute eta elkarrekin jokoari aurre egingo diote.
10,Hasieran dena ondo badoa laster agertuko dira lehendabiziko arazoak...
11,Enpresa hiru sailetan banatua dago.
12,"Uhartearen proiektuak ere txikizio handia egingo luke, itsaslabarrak suntsitu."
13,Ondoren Euskal selekzioaren entrenatzailea bilakatu zen.
14,"Baita ere, kontsultatu egiten ditu objektuen antzera abstrakzioen bidez."
15,"Beraz, Marinak bere nortasuna onar dezaten borrokatzen du."
16,Aurrera begira hartu beharreko erabakien eztabaidaran txanda da.
17,Atxikimendua pertsonala zen partiar gerrak eta Egiptoko matxinada irabazi baitzituen.
18,Horietako asko hirian betiko gelditu ziren.
19,"Bertan, azienda-azoka antolatu izan dute urteetan."
20,Sarean hasten zarete idazketa esanguratsuenak egiten.
21,Txikitatik euskal dantzak ikasten aritu da.
22,"Burdinbide-gaiak, metalgintza, ehungintza eta mekanika-industria."
23,Kanpotik etortzen direnean kolonia deritzo.
24,Gizakiek ere bere egin zuten Oihan Beltza.
25,"Musika-lanak, dirudienez oso ugariak, ia guztiak galdu dira."
26,Gorriak eta gorriagoak ezagutu eta igarotzeko dago oraindik.
27,Auzo honetan dago Loiuko herrigunea.
28,"Gatz alkalino horri, orokorrean, xaboi deitzen zaio."
29,Europako txapelketetan ere ohiko taldea bihurtu da.
30,"Estilo klasikoa gorde zuen, ordea, obra horren kanpoaldean."
31,Baserritarren bizi-kalitatea hobetzea nabarmena izan zen.
32,Zazpi minutuko hitzalditik hautatutako esaldiak dira.
33,Gerra zaldia bezala ospetsua bilakatu zen Frantses armadaren aldetik.
34,Generoaren kideak ur gezan bizi dira.
35,Hogei urtetarako hainbat erakusketetan parte hartzeko aukera izan zuen.
36,"Zein iruditzen zaizu, diapositibei begira, aurkezpenik argiena?"
37,"Patroiek, armadak eta Guardia Zibilek lagunduta, errepresio gogorra antolatu zuten."
38,"Bere liburuak euskaraz, gaztelaniaz, frantsesez zein ingelesez idatzi zituen."
39,Guk bakarrik ezagutzen ditugun lekuen izenak eta zenbakiak erabil ditzakegu.
40,Australian eta Ginea Berrian bizi dira.
41,Bere familia artearekin oso lotuta zegoen tradizioz.
42,Frantsesez idazten duen aljeriar idazle handientzat hartzen da.
43,Nire kamera nire buruan dago.
44,Urte hartako abuztuaren bederatziko goizean izan zen.
45,"Eskola ikasketak, berriz, sei urterekin hasi zituen."
46,Henrike Nabigatzailearen hurbileko laguntzaile bat izan zen.
47,Tenperatura jaitsi pil-pila kendu arte.
48,Guztira ehun bat ponpa daude kanalaren lana mantendu ahal izateko.
49,Atzelari indartsu eta kementsua da.
50,"Dropbox bidez fitxategi bat partekatzean, fitxategia Dropboxi partekatzen ari da."
51,"Ongi da, orain goazen ikustera nola hedatzen diren."
52,Sailkapen tradizional honek ez ditu oraingo balioak nahitaez islatzen.
53,Gure ikastetxean ere debekatuta dago horrela janztea ikasgelan.
54,"Portugaldarrek uhartea aurkitu zutenean, ez zuen biztanlerik."
55,Aipatzeko elementu arkitektoniko nagusiak honako hauek dira.
56,"Urbasa karstifikatutako gunea da, hau da, kareharriz sortua da."
57,"Honela, armadaren burua bihurtu zen."
58,"Hango portutik merkataritza-harreman estuak bideratzen dira Errusia, Korea eta Txinarekin."
59,"Hala ere, bere aita zen etxe-burua."
60,Sobera hartzeak ere gantza arterietan pilatzea ekar dezake.
61,Euren herenaitonaren esaldi bat euskaratzeagatik ez didate dirurik eskatuko.
62,Poesia eta kontakizuna landu zituen bereziki.
63,Hidrogeno urtua kopuru handietan lortu zuen lehenengoa izan zen.
64,"Honek eragin handia izan zuen Frantzia osoan, baita Europan ere."
65,"Aspaldian, gainera, rock instrumentalera erabat lerratu da."
66,Plastikoa egiteko eta gai organikoak sintetizatzeko erabiltzen da batez ere.
67,"Horren arabera, bere obra bi garai desberdindu dira."
68,Oso damututa nago eta badakit badakizula.
69,"Hala ere, ulergarritasuna mantentzeko ez zuten beti egin."
70,Mugimendu feministak maitasunaren gaia modu etiko batean landu du.
71,Agirrek galdera deserosoa bota du piztutako elkartasunaz.
72,"Urbanizazio prozesuaren ondorioz, euskaldun gehienak hirietan bizi dira."
73,Euskal Herriko Unibertsitatean Arte Ederretan lizentziatua da.
74,Hainbat taldetako ikaslek bere iruzkinekin bloga osatu egiten zuten.
75,Oman eta Arabiar Emirerri Batuetan bizi dira.
76,Renferen Adif konpainiak ustiatzen du.
77,Tranbia sarrerako atea heldu zen.
78,Munduko xake Txapelketa antolatzen du.
79,Beroaldi globalak badu klase sozialen berri.
80,"Abuztu hasieran atxilotu zuten, eta Ondarretako espetxean giltzapetu."
81,"Udalerria, lau auzo nagusik osatzen dute."
82,"Bertan jardun zuen hil arte, eguneko zutabe bat idatziz."
83,"Horrelako hainbat figura direnean, multzoari konpartsa esaten zaio."
84,"Oro har, hurrengo estatu hauek hartzen dituela jotzen da."
85,"Elite intelektualak, hala ere, gaztelania eta frantsesa menperatzen ohi ditu."
86,"Hiletan, Julio Zesar ilobak hitzaldi ederra eskaini zion."
87,Bide beretik mintzatu zen Estitxu Eizagirre ere.
88,Bertan hitz egiten den hizkuntza nagusia frantsesa da.
89,"Jaiotzez madrildarra den arren, Aragoin bizi da."
90,"Txirrindularitzaren arloan, Milan-San Remo lasterketa klasikoa nazioartean oso ezaguna da."
91,"Armada talde bat, armada batean era daitekeen unitaterik handiena da."
92,Euskal filologian liburu eta artikulu zenbaiten egilea da.
93,Minerita dokumentala egiteko ideia nola sortu zitzaizun?
94,Ur kirolak ere egin daitezke inguruko ibai eta aintziretan.
95,Eskualdean bira eginez ongizatera bidaiatzea da gaurko ihesbidea.
96,"Barruko atomoek, erlazio errepikakorrak erakusten dituzte ere."
97,Baliteke beraz Euskal Herriko mendebaldera hedatua izatea ere.
98,Bilboko musika bandan jotzen du.
99,Hostoetan sokak egiteko erabiltzen diren zuntz gogorrak ditu.
100,"Geroztik, urtero ospatzen da irailaren erdialdean."
101,Bi garai geologikoen artean kokaturik dagoen aztarnategia da.
102,"Amazonas ibaira isurtzen da, ezkerraldetik, uharteak eta aintzirak eratuz."
103,Deitu ezazu Kai ea bera bakarrik etortzeko gai den.
104,Kultur sorkuntza dirudunen menpe egon ez dadin sortu dira abangoardiak.
105,Hiru urte zituenean aita galdu zuen.
106,"Jesusen Lagundiaren aiten egoitza gertu zegoen, hortik izena."
107,Hamazortzi urterekin idazten hasten da.
108,Ukitzen banauzu salatu egingo zaitut.
109,"Azaltzen dutenez, instituzioetatik hainbestetan errepikatzen zitzaien."
110,"Maria, izatez, larriki gaixo dago."
111,Poni hauek beste aldetik arabiar zaldiekin nahastu dituzte.
112,"Beste iturri batzuk, aldiz, egoera guztiz kontrakoa zela diote."
113,Lastima batzuek erakusten duten errespetu falta.
114,"Antzezlea izateaz gain, irakasle lanetan ere aritzen da."
115,"Eta era berean, pentsatu nuen."
116,Urtean bi labore eskaintza egiten zuten.
117,"Beti ere, uda amaieran herria berriz ere espainiarren esku zegoen."
118,Gerra Zibilaren garaian politikan esku hartu zuen.
119,Dinastiako erregeen ondorengoak errege ziren.
120,Bertako itsaskiak eta sagardoa ere ezagunak dira.
121,Nafar Herriaren Batasunak hiru lortu zituen.
122,"Prestakuntza-aldia bukatuta, Europan zehar bidaiatu zuen, garai guztietako artea ikusiz."
123,Kasu batzuetan badaude mankomunitate baten parte ez diren udalerriak.
124,Euskaldunak eta godoen artean etengabeko istiluak daude.
125,Lanbide Heziketa eta oinarrizko bestelako ikasketak ere eskaintzen dituzte.
126,Horregatik entzuten da hain musika klasiko gutxi irrati orokorretan?
127,Fenomenoa beste hizkuntzetan ere gertatzen da.
128,"Orozkon esaterako, Barandikaren parrokian, aurre-ikastaro sozial batzuk antolatu zituzten."
129,Etimologiaren ikuspegitik elizbarrutian Elizaren legeak bete daitezela kontrolatu behar du.
130,Zipreko lehen mailan lortu duen posturik hoberena hirugarrena da.
131,"Tankea alde guztietatik, hegoaldetik izan ezik, zutabez inguratuta zegoen."
132,"Zerbait esan zidan, baina xehetasunik gabe."
133,"Idatzi blog honetan bertan, zer ikasi nahi duzun adieraziz."
134,Edo beste era batera aldizkarian bertan.
135,Anarkismoaren hurbileko posizio politikoak izan zituen.
136,Miranda Ebroko barruti judizialaren menpe dago.
137,"Gainera, erremate errepertorio zabala zuen."
138,"Ameriketara itzulita, bakardade-giroan bizi izan zen, izadiarekiko oreka betean."
139,"Entzefalo enborrean kokatzen da, zehazki zubian."
140,"Aldaera horietatik kanpo, bi txalo-mota oso ezagunak dira."
141,Taldeen futbol zelaien diseinatzailea ere izan zelarik.
142,Ehun helduen artean espezializazio mailarik txikiena du.
143,"Bost urtez preso izan zen, tortura izugarriak jasaten."
144,Hiru gunetan banatzen da Nepalgo Erdialdeko eskualdea.
145,Udako Euskal Unibertsitateko idazkari nagusia da Ane Sarasua Aranberri.
146,Kongresuan Bizkaiko arduraduna aukeratu zuten.
147,"Gaur egun, dorre hau, Pragako toki turistiko bat da."
148,Danimarkako eraikin gotiko handiena eta ederrenetakoa kontsideratzen da.
149,"Gaitzak larruazala, nerbio-sistema eta barrunbeak jotzen ditu."
150,Azken hauteskundeetan zerrenda bozkatuena izatea lortu zuten.
151,Baztan haraneko dorretxe zaharrenetakoa da.
152,Mendiaren aprobetxamenduaren gaineko auziak jasotzen dituzten dokumentuz gainezka ditugu agiritegiak.
153,"Herriko albisteak, erreportajeak, historia, kirolak... jasotzen dira bertan."
154,Caracaseko komisariako krimenen aurkako sailaren ardurapean utzi dute kasua.
155,Kanpoaldean aparkalekua eta taxi geralekua daude.
156,Europan zegoen berpizkundeko gaztelu handiena zen orduan.
157,Suitzan ere ireki zuen beste bat.
158,"Soria, Duero ibaiaren goiko atalean kokatuta dago."
159,Geroztik beste ehun eta gehiago atzerritar hil zituen.
160,Estonbak froga hauek zalantzan jarri ditu.
161,"Administratiboki Frantziako Pirinio Garaiak departamenduan dago, Okzitania eskualdean."
162,Kornubierarentzat onarpen ofiziala lortze aldera aurrerapauso garrantzitsua izan da.
163,"Gogorrena, ordea, Europar Batasunetik datorkigu."
164,Baimena ematen dietenean esaten ari dira.
165,Ozeano tropikal eta azpitropikaletan bizi dira.
166,"Hil dezaten eskatu die, baina ingurukoak ez diote jaramonik egiten."
167,Zeresanik ez botoen erdia galdu duen Geroa Bairentzat.
168,"Ondorioz, gabezia ez-ohikoa izaten da."
169,Artikulu horrek eragin handia izan zuen geometria diferentzialaren arloan.
170,Bere jarraitzaileek Bakearen aldeko Nobel Sarirako proposatu zuten.
171,"Berehala, mekanismo ezezagun batek altxatu egiten du sarea."
172,Hego Hemisferioan alderantziz gertatzen da.
173,Abesti konposaketan oso emankorra izan zen.
174,Talde txikietan elkartu ohi dira.
175,"Errege honen jatorriak, oraindik ilun jarraitzen du."
176,"Geroago, harekin borroka egin eta galdu zuen."
177,Kontatuko didazu zer den Pilota Girls?
178,Oraingo formula askotan formula horrela adierazten da.
179,"Erositako alearekin batera, zein eskubide erosi duzu?"
180,Gotzainak ez zituen torturaren arrastoak ikusi nahi izan.
181,Baionan eta Parisen egin zituen margolaritza-ikasketak.
182,Aurreiritziek eta han-hemenka irakur daitezkeen zenbait iruzkinek neskak urrundu dituzte.
183,Ikastolak eragile sozial izan behar baitira.
184,Azken urteak saio filosofikoak idazten eman zituen.
185,Gizarte mugimenduetan oso pertsona ezaguna zen.
186,Aurrez aurreko zeinua Leo du.
187,Nire ikasleetatik ehuneko lau bakarrik animatu da.
188,Trenbidearen eraikuntzak garrantzi demografiko handia izan zuen.
189,Horregatik uste da udalaren enkarguz egindakoa dela.
190,Errele bat elektrikoki eragiten den etengailu bat da.
191,"Etxebizitza, eraikinaren Ekialdeko lehen solairuan dago."
192,Nola ibili zara mundutik beti bizikletaz?
193,"Dakigun bezala, ordenamendu juridikoan hainbat arau jasotzen dira."
194,"Hitza italierazko jatorria du, non edo gudua hitzetik erakarri zuten."
195,"Filologia klasiko, arkeologia eta historiako ikasketak egin zituen, Madrilen."
196,"Europako herrialde askotan ezagunak dira, batez ere futbol arloan."
197,Aurkikuntza honek hormonen ekoizpen sintetikoa ahalbidetu zuen.
198,"Hala ere, eleberria eta filma ez dira guztiz berdinak."
199,"Bilboko hirugarren barrutian kokatuta dago, Otxarkoaga-Txurdinagako barrutian alegia."
200,"Gelan sartu eta berehala, garondoan tiro egiten zuten."
201,Bietan transmisio uhin elektromagnetikoen bidez burutzen da.
202,Bere izena bere aurkitzailearen omenezkoa da.
203,Monumentu historiko ugari eta museoak ditu.
204,Bere semea herrialdeko independentziaren alde borrokatu zuen.
205,Sortu zen eta gaur egun guraso-kooperatiba batek kudeatzen du.
206,"Zati bakoitzean, leiho txiki bat dago ia karratua."
207,Kataluniako Biltzar Nazionalak hainbat pertsonaren babesa jaso du.
208,Pelaio Asturietakoaren semea izan zen.
209,Egia da asko erakutsi didala erizaintzak.
210,"Laugarren taldea ziklo konbinatua da, eta martxan dago."
211,Noiz hasi zinen kateak sentitzen?
212,Munduaren sorreran kaosaren uretatik irtena uste zen.
213,Edukia Artizarraren araberako egutegia omen da.
214,"Hauek, gameto emea sortzen dute."
215,Hainbat barietate erabiltzen dira aukeratu dituzte hostoak dituen koloreengatik.
216,Zer kontatu nahi dut nik benetan?
217,"Bestela, zuk zeuk sortu beharko duzu artikulu berria."
218,Sari asko jaso zituen Frantzian.
219,"Orduan, Sauronek bere boterea galdu zuen eta desagertu egin zen."
220,"Biek bere botere politiko, ekonomiko eta militarraren interesa zeukaten."
221,"Elkoko ilustratzailearen bineta, justiziaren izaera patriarkala irudikatuz."
222,"Maien aztarnategi asko daude, eta horrek turismoa erakarri du."
223,"Eraikin bakartua da, lorategiz inguratua."
224,"Eta egoera ez da hobea Sri Lankan, tamil etniaren lurraldean."
225,Bereziki ezaguna izan zen bere erretratu eta horma irudiei esker.
226,"Atzoko ume hilak, bihar lurruna, idatz lezake Elorriagak."
227,Biztanleriaren gehiengoak galesera mintzatzen du.
228,Harri Handien Txapelketa ere jokatzen da.
229,Krakovia ondorengo hiriekin senidetuta dago.
230,"Hala ere, urte batzuk geroago nafarrek bere jabetza berreskuratu zuten."
231,Gainera desplazatuekin hainbat ekimen egin dituzte.
232,"Literaturan, estilo garbia da bere ezaugarri nagusia."
233,Nik probatuko dut ea zenbat esaldi kopia ditzakedan wiki-orri honetara.
234,Zein da zuen hurrengo lana?
235,"Amigdalarekin gertatzen den moduan, batzuetan aho-gingilekin nahasten dute."
236,Hitz-elkartuen tipologia eta esanahia desberdintzen da ere hizkuntzatik hizkuntzara.
237,"Eta horien atzetik etorri ziren besteak, egoera irauli zutenak."
238,Arazoa da harreman horren nondik norakoa zehaztea.
239,Alegia-liburuak osorik latinera itzuli zituen lehenengo idazlea izan zen.
240,Prozesioak agertzen dituzten hainbat koadro ere egin zituen garai hartan.
241,Dañobeitiak gogorarazi digu ezkerren eztabaida klasikoa dela.
242,Nahasketa honekin betetzen ziren ardo kopak.
243,Lekuko batek ezetz zioen webgune horretan.
