word,homophone,semantic1,semantic2,easy1,easy2
aprender,aprehender,estudar,instruír,imaxe,terror
ai,hai,auxilio,socorro,peixe,prata
baca,vaca,portaequipaxes,maleteiro,comercio,morte
bacilo,vacilo,microbio,bacteria,adulta,nacemiento
balar,valar,bater,golpear,domingo,cantidade
baremos,varemos,escalas,cálculos,batería,director
basta,vasta,groseiro,vulgar,crocodilo,venres
basto,vasto,vulgar,groseiro,xeonllo,preposición
belo,velo,fermoso,bonito,unlla,policía
bobina,bovina,carrete,rolo,xungla,millo
bota,vota,barril,calzado,botón,humano
botar,votar,lanzar,chimpar,rúa,terror
corte,cohorte,sección,coitelo,gobernadora,inverno
enzima,encima,catalizador,fermento,gas,boneca
espiar,expiar,observar,axexar,destino,surf
extirpe,estirpe,arrincar,eliminar,xeo,frauta
haber,a ver,existir,posuír,familia,transacción
habería,avería,podería,tería,tigre,mosquito
hora,ora,momento,instante,ser,morte
horco,orco,bifurcación,ramificación,bolsa,peso
novel,nobel,principiante,novedoso,mar,aumento
revelar,rebelar,descubrir,desvelar,periodista,praia
vacante,bacante,vacío,libre,empresario,nacemento
baleira,valeira,desocupada,baleira,xoves,total
vacilar,bacilar,mofar,vacilar,varrendeira,demanda
ven,ben,volve,acércate,balonmán,adulta
vidente,bidente,adiviño,clarividente,bolsa,produción
viso,biso,aparencia,aspecto,carnicería,primavera
badía,vadía,baía,golfo,demanda,marrón
vatímetro,batímetro,calibrador,medición,creación,marrón
berrón,verrón,goleón,gritón,alcachofa,piano
pabón,pavón,cenceno,pendón,domingo,corazón
berro,verro,grito,bramido,gafas,fabas
