change,word,homophone,semantic1,semantic2,easy1,easy2
me:ɐ,Meer,mehr,Ozean,See,Vater,Socken
kɑːtiː,Kati,Kathi,Tür,Schaf,Qualität,Vernunft
kaimɑːn,Cayman,Kaiman,Zwiebel,Zentimeter,bauen,Bereich
ɡeːkɪltɐ,gekillter,gekielter,echt,Zentimeter,langsam,wahrscheinlich
ʀɛtʊŋsboːtə,Rettungsbote,Rettungsboote,Krebs,Eisen,lesen,Kanzler
ɡɛpʀaʊkskʀɑːfiːʃə,gebrauchsgrafische,gebrauchsgraphische,Cafeteria,noch,letzter,Organisation
fɔʀv\ksk3\ksɑː4ʀtspʀɪŋst,vorw\xc3\xa4rtsspringst,vorw\xc3\xa4rtsbringst,begleiten,fest,tragen,immer
miːnɪstəʀiːn,Ministerien,Ministerin,erschweren,Biologin,Folge,ländlich
pɑːʀakʀɑːfəndɪkɪxt,Paragraphendickicht,Paragrafendickicht,Boot,Adjektiv,gelangweilt,neu
nɑː,Naa,na,Flughafen,Samstag,bis,Zeichentrick
kʀaftvəʀkstandɔʀtə,Kraftwerkstandorte,Kraftwerksstandorte,Salat,besonders,Handfläche,Käfer
moːdɛlflʊɡkluː,Modellflugclu,Modellflugklu,sozial,letzter,Ärztin,Bauwerk
katmiːʊms,Kadmiums,Cadmiums,Socken,heute,Baby,Hund
ʃtʀɑː\ksk3\ks9fənnɑːmə,Stra\xc3\x9fenname,Stra\xc3\x9fennahme,Schreibtisch,Maler,Ebene,Schwein
vɪsənʃaftsbɪpliːɔkʀɑːfiːn,Wissenschaftsbibliographien,Wissenschaftsbibliografien,Oktopus,Straßenfeger,Sohn,ersetzen
tʀɪŋk,Drink,trink,Astronaut,führend,leicht,speziell
kɑːtɑːʀiːʃ,katharisch,katarisch,schnell,etcetera,Biologin,Adresse
ʃpɔʀtmɪkʀoːfɔns,Sportmikrophons,Sportmikrofons,Herr,erschrecken,Handfläche,Spargel
tɑːɡɛspʀuːx,Tagesspruch,Tagesbruch,Unternehmen,Faden,Verlauf,Bahn
foːyːəʀvəʀkshɔvs,Feuerwerkshows,Feuerwerksshows,Hotel,einzigartig,oft,bringen
aʊfɡeːakt,aufgehakt,aufgehackt,Mann,nahe,vier,Problem
bɪpliːɔkʀɑːfiːʃeːm,bibliografischem,bibliographischem,vermeiden,dritter,scheinen,hinzufügen
tʀakt,trackt,Trakt,Höhe,Körper,offensichtlich,hören
fɔʀt͡suːt͡siːəndeːs,fortzuziehendes,vorzuziehendes,erschrocken,Ozean,Lösung,Beziehung
fɔʀt͡saiɡɛklʊbs,Vorzeigeclubs,Vorzeigeklubs,Schlagzeug,Präsident,normal,schmerzhaft
tənnɪskluː,Tennisclu,Tennisklu,Tür,Typ,Knie,Präsidentin
lɪplɪŋsklʊbs,Lieblingsklubs,Lieblingsclubs,Brust,Lawine,Kilo,Allee
kvəʀʃnɪtstuːdiːn,Querschnittsstudien,Querschnittstudien,Gemeinde,Typ,Metall,Geschäft
fɔʀt͡suːlasən,vorzulassen,fortzulassen,tragen,Romanze,weil,Kanufahren
koːdɪʀtɛst,kodiertest,codiertest,oft,einsam,Stellvertreter,Liebe
bʊʀkaʀt,Burkard,Burkart,warten,Folge,echt,Kassierer
deːmɔkʀɑːfiːn,Demographien,Demographin,beabsichtigen,denken,neun,September
meːʀ,mehr,Meer,Maß,aktuell,Ton,Tornado
bʊndɛspʀeːxəʀs,Bundesbrechers,Bundessprechers,Abteilung,Fortpflanzung,glauben,Ingenieurin
ɡeːɔkʀɑːfiːɪnstiːtuːt,Geografieinstitut,Geographieinstitut,Hand,Krawatte,Auto,Hund
zaitən,Seiten,Saiten,alt,Frau,Apotheke,kaufen
akʀɑːʀ\ksk3\ksb6koːnoːmiːn,Agrar\xc3\xb6konomien,Agrar\xc3\xb6konomin,weit,billig,Friseur,Landstraße
kʀɑːfɪkdɑːtənfəʀaʀbaitʊŋk,Graphikdatenverarbeitung,Grafikdatenverarbeitung,Ärmel,streng,genießen,Taille
ʃnait,schneit,Schneid,Mehrheit,bald,ruhen,Bäcker
kaisəʀbiːɔkʀɑːfən,Kaiserbiografen,Kaiserbiographen,Kegeln,unterlegen,Haltestelle,Rückschritt
klɪkst,glichst,klickst,Erhöhung,Fahrrad,Wissenschaftlerin,Bohnen
miːnɪstəʀʀatsiːt͡sʊŋk,Ministerratsitzung,Ministerratssitzung,flexibel,Wesen,etwa,Bahnhof
kɑːtɑːʀiːnɑː,Catarina,Katarina,unser,Mann,August,Onkel
ʃaʀtən,scharrten,scharten,Adjektiv,Ehemann,Schritt,Ingenieurin
