word,homophone,semantic1,semantic2,easy1,easy2
abollar,aboyar,deformar,golpear,nacimiento,pájaro
ala,hala,alón,alar,capital,tamaño
alarma,alharma,alerta,aviso,adverbio,cierre
albino,alvino,blanco,incoloro,críquet,flauta
amo,hamo,dueño,señor,panadería,manga
aprender,aprehender,estudiar,instruir,imagen,terror
arroyo,arrollo,riachuelo,corriente,banco,hermana
arte,harte,creación,habilidad,consumo,colega
asta,hasta,cuerno,púa,drama,mililitro
ay,hay,auxilio,socorro,pez,plata
azahar,azar,flor,perfume,casa,panel
baca,vaca,portaequipajes,maletero,comercio,muerte
bacilo,vacilo,microbio,bacteria,adulta,nacimiento
balar,valar,mugir,balido,domingo,cantidad
balsa,valsa,estanque,charca,brócoli,ser
bandana,vandana,pañuelo,pañoleta,calabacines,avalancha
baqueta,vaqueta,palillo,maza,bisnieto,escalada
baremos,varemos,escalas,cálculos,batería,director
basta,vasta,suficiente,bastante,cocodrilo,viernes
basto,vasto,tosco,grosero,rodilla,preposición
baya,vaya,fruto,drupa,ajo,muerte
baya,valla,fruto,bolsa,copistería,nivel
bello,vello,hermoso,bonito,uña,policía
bienes,vienes,propiedades,riquezas,consumo,arquitecta
billa,villa,bola,esfera,blanco,criatura
binario,vinario,dúo,par,bañador,waterpolo
bobina,bovina,carrete,rollo,jungla,maíz
bolear,volear,rodar,girar,conjunción,determinante
bota,vota,barril,calzado,botón,humano
botar,votar,rebotar,saltar,calle,terror
bovino,bobino,vacuno,toro,producción,violín
cabe,cave,entra,encaja,suspense,determinante
callar,cayar,silenciar,mudar,fantasía,hermana
callo,cayo,dureza,callosidad,prima,crecimiento
cólera,colera,ira,rabia,villa,pantalla
corte,cohorte,sección,cuchillo,gobernadora,invierno
deshecho,desecho,destruido,destrozado,dirección,autoescuela
desojar,deshojar,desgajar,descascarar,sobrino,transporte
enebro,enhebro,sabina,cedro,cámara,terror
enzima,encima,catalizador,fermento,gas,muñeca
esclusa,exclusa,compuerta,compartimento,preposición,baloncesto
escusa,excusa,excusa,pretexto,criatura,estación
espiar,expiar,observar,acechar,destino,surf
espirar,expirar,exhalar,soplar,aumento,talón
excavar,escavar,cavar,hurgar,placer,repollo
extirpe,estirpe,arrancar,eliminar,hielo,flauta
grabar,gravar,registrar,inscribir,montaña,saxofón
haber,a ver,existir,poseer,familia,transacción
habitar,abitar,residir,vivir,peso,ferrocarril
habría,abría,podría,tendría,tigre,mosquito
halagar,alagar,adular,elogiar,surf,marrón
hatajo,atajo,grupo,conjunto,humanidad,supermercado
hato,ato,rebaño,ganado,demanda,marrón
haya,aya,madera,hayedo,laguna,pasado
haz,as,rayo,luz,tsunami,mar
hecho,echo,evento,suceso,creación,marrón
herrar,errar,equivocar,fallar,martes,bisnieto
hierba,hierva,vegetal,pasto,silla,mililitro
hierro,yerro,metal,fierro,hueso,calle
hojear,ojear,revisar,repasar,diputada,piano
hora,ora,momento,instante,ser,muerte
horario,orario,tiempo,programación,voleibol,verbo
horca,orca,horquilla,tenedor,amigo,pájaro
horco,orco,bifurcación,ramificación,bolsa,peso
hoyo,oyó,hendidura,agujero,bolos,talón
injerir,ingerir,introducir,meter,comedia,escritorio
llanto,yanto,lágrimas,sollozo,empresa,consumo
malla,maya,red,tejido,fantasía,esgrima
novel,nobel,principiante,novedoso,mar,aumento
ocupa,okupa,llenar,apropiarse,reunión,silla
ola,hola,marejada,oleaje,ingeniera,ayuntamiento
olla,hoya,cazuela,recipiente,criatura,jueves
onda,honda,ondulación,ola,hermano,bota
ostia,hostia,golpe,torta,mayoría,atención
oye,hoye,escucha,atiende,mentira,surf
rayar,rallar,trazar,garabatear,kilo,velo
revelar,rebelar,descubrir,desvelar,periodista,playa
río,rio,arroyo,corriente,alcachofa,piano
savia,sabia,jugo,linfa,domingo,corazón
silva,silba,bosque,arboleda,especie,carretera
tubo,tuvo,conducto,cañería,peso,mesa
uno,huno,singular,individual,gafas,habas
uso,huso,utilización,empleo,otoño,rojo
uve,hube,erre,hache,gramo,domingo
vacante,bacante,vacío,libre,empresario,nacimiento
vacía,bacía,desocupada,hueca,jueves,total
vacilar,bacilar,bromear,vacilar,barrendera,demanda
vagar,bagar,deambular,remolonear,familia,verde
vale,bale,bien,aceptado,hombro,tema
vaquero,baquero,ganadero,pastor,producto,mililitro
ven,ben,vuelve,acércate,balonmano,adulta
verdugo,berdugo,ejecutor,carcelero,adjetivo,cordón
vez,ves,ocasión,turno,pantalla,col
vidente,bidente,adivino,clarividente,bolsa,producción
vino,bino,bebida,viña,hockey,uña
viso,biso,apariencia,aspecto,carnicería,primavera
